"panther_id","sex","age","age_unit"
"UCFP033","Male","1","Years"
"UCFP034","Male","1.75","Years"
"UCFP035","Male","1.75","Years"
"UCFP036","Female","1.7","Years"
"UCFP037","Female","5","Years"
"UCFP038","Female","2","Years"
"UCFP039","Female","10","Months"
"UCFP040","Male","10","Months"
"UCFP041","Male","2","Years"
"UCFP042","Female","4","Years"
"UCFP044","Unknown","14","Days"
"UCFP045","Male","3","Years"
"UCFP046","Male","6","Months"
"UCFP048","Female","8.5","Months"
"UCFP051","Male","1.5","Years"
"UCFP052","Male","2","Years"
"UCFP053","Female","2.5","Years"
"UCFP054","Male","9","Months"
"UCFP055","Male","1","Years"
"UCFP056","Male","1","Years"
"UCFP057","Female","5","Years"
"UCFP058","Female","1","Years"
"UCFP059","Male","3","Months"
"UCFP060","Male","2.5","Years"
"UCFP061","Female","2.5","Years"
"UCFP062","Female","8","Months"
"UCFP063","Male","4.5","Years"
"UCFP065","Male","2","Years"
"UCFP066","Male","3","Years"
"UCFP067","Female","7","Days"
"UCFP068","Female","4.5","Years"
"UCFP069","Female","2","Years"
"UCFP070","Female","1","Years"
"UCFP071","Male","2.5","Years"
"UCFP072","Male","2","Years"
"UCFP073","Male","7","Months"
"UCFP074","Male","3","Years"
"UCFP075","Male","2","Years"
"UCFP076","Male","1","Years"
"UCFP077","Female","2.5","Years"
"UCFP078","Male","9","Months"
"UCFP079","Female","2","Years"
"UCFP080","Female","1.5","Years"
"UCFP081","Male","2","Years"
"UCFP082","Male","",""
"UCFP083","Male","3","Years"
"UCFP084","Male","3.5","Years"
"UCFP085","Male","3.5","Years"
"UCFP086","Unknown","",""
"UCFP087","Male","3","Years"
"UCFP088","Female","2","Years"
"UCFP089","Male","4","Years"
"UCFP090","Female","5","Months"
"UCFP091","Male","5","Months"
"UCFP092","Male","1.5","Years"
"UCFP093","Male","2","Years"
"UCFP094","Male","2.5","Years"
"UCFP095","Male","2.5","Years"
"UCFP096","Female","3","Years"
"UCFP097","Female","4.5","Years"
"UCFP098","Male","22","Months"
"UCFP099","Male","13","Months"
"UCFP100","Male","2.5","Years"
"UCFP101","Male","4","Years"
"UCFP102","Male","22","Months"
"UCFP103","Male","2.5","Years"
"UCFP104","Female","16","Months"
"UCFP105","Female","5.5","Years"
"UCFP106","Male","2","Years"
"UCFP107","Female","2.5","Years"
"UCFP108","Female","3.5","Years"
"UCFP109","Male","8","Years"
"UCFP110","Female","2.5","Months"
"UCFP111","Female","7","Months"
"UCFP112","Male","2.5","Years"
"UCFP113","Male","4.5","Years"
"UCFP114","Female","4","Years"
"UCFP115","Male","4","Years"
"UCFP116","Female","4.5","Years"
"UCFP117","Male","3.5","Years"
"UCFP118","Male","1.5","Years"
"UCFP119","Female","2.5","Years"
"UCFP120","Female","2","Years"
"UCFP121","Male","2","Years"
"UCFP122","Male","1.5","Years"
"UCFP123","Male","3.5","Years"
"UCFP124","Male","1.5","Years"
"UCFP125","Female","2","Years"
"UCFP126","Male","2","Years"
"UCFP127","Female","3.5","Years"
"UCFP128","Female","3","Years"
"UCFP129","Male","3.5","Months"
"UCFP130","Female","3.5","Years"
"UCFP131","Female","3.5","Months"
"UCFP132","Male","3.5","Years"
"UCFP133","Male","3.5","Years"
"UCFP134","Male","3","Years"
"UCFP135","Female","4","Years"
"UCFP136","Female","3.5","Months"
"UCFP137","Male","2.5","Years"
"UCFP138","Male","7","Years"
"UCFP139","Female","3","Years"
"UCFP140","Male","1.5","Years"
"UCFP141","Female","5","Months"
"UCFP142","Female","8","Months"
"UCFP143","Male","7.8","Months"
"UCFP144","Male","13","Months"
"UCFP145","Male","17","Months"
"UCFP146","Female","3.5","Years"
"UCFP147","Female","3","Years"
"UCFP148","Male","2.5","Years"
"UCFP149","Male","1.5","Years"
"UCFP150","Male","8.5","Months"
"UCFP151","Female","14","Months"
"UCFP152","Female","3","Years"
"UCFP153","Male","8","Months"
"UCFP154","Male","10.5","Months"
"UCFP155","Female","4","Years"
"UCFP156","Male","3.5","Years"
"UCFP157","Female","3","Years"
"UCFP158","Male","",""
"UCFP159","Female","4.5","Years"
"UCFP160","Male","13","Months"
"UCFP161","Male","8","Years"
"UCFP162","Male","1","Years"
"UCFP163","Male","3.5","Years"
"UCFP164","Female","3.5","Years"
"UCFP165","Female","3.5","Years"
"UCFP166","Male","4.5","Years"
"UCFP167","Female","4","Years"
"UCFP168","Male","5","Years"
"UCFP169","Male","63","Days"
"UCFP170","Male","3.5","Years"
"UCFP171","Male","1.5","Years"
"UCFP173","Female","7","Months"
"UCFP174","Male","10","Months"
"UCFP175","Male","13","Months"
"UCFP176","Female","3","Months"
"UCFP177","Female","4","Months"
"UCFP178","Female","1","Years"
"UCFP179","Male","3","Years"
"UCFP180","Male","4.5","Years"
"UCFP181","Female","2.5","Months"
"UCFP182","Male","3","Years"
"UCFP183","Unknown","",""
"UCFP184","Female","7","Months"
"UCFP185","Male","10","Months"
"UCFP186","Male","3","Years"
"UCFP187","Female","4","Months"
"UCFP188","Male","2.5","Years"
"UCFP189","Female","5.5","Months"
"UCFP191","Male","2.5","Years"
"UCFP192","Female","10","Years"
"UCFP193","Male","3","Years"
"UCFP194","Male","2.5","Years"
"UCFP195","Male","2.5","Years"
"UCFP196","Male","2.5","Years"
"UCFP197","Female","16","Months"
"UCFP198","Female","3","Years"
"UCFP199","Male","4","Years"
"UCFP200","Male","2.5","Years"
"UCFP201","Male","1","Years"
"UCFP202","Unknown","9","Months"
"UCFP203","Male","2.5","Years"
"UCFP204","Male","1.5","Years"
"UCFP206","Male","3","Years"
"UCFP207","Male","1.5","Years"
"UCFP208","Unknown","2","Years"
"UCFP209","Male","4","Years"
"UCFP210","Male","2.5","Years"
"UCFP211","Male","9","Months"
"UCFP212","Male","4.5","Years"
"UCFP213","Female","3","Years"
"UCFP214","Male","14","Months"
"UCFP216","Female","1","Years"
"UCFP217","Female","2","Years"
"UCFP218","Female","4","Months"
"UCFP219","Male","4","Months"
"UCFP220","Female","3.5","Years"
"UCFP222","Male","3","Years"
"UCFP223","Female","3.5","Years"
"UCFP224","Male","6","Months"
"UCFP225","Male","4","Years"
"UCFP226","Male","3","Years"
"UCFP227","Male","2","Years"
"UCFP228","Male","2","Years"
"UCFP229","Female","2.5","Years"
"UCFP230","Female","1.5","Years"
"UCFP231","Female","1.5","Years"
"UCFP232","Male","4","Years"
"UCFP233","Male","5.5","Years"
"UCFP234","Unknown","4.5","Years"
"UCFP235","Male","10","Months"
"UCFP236","Male","1","Years"
"UCFP237","Male","2.5","Years"
"UCFP238","Male","5","Years"
"UCFP239","Male","3.5","Years"
"UCFP240","Female","1","Years"
"UCFP241","Male","",""
"UCFP242","Female","3","Years"
"UCFP243","Male","4","Years"
"UCFP244","Male","1.5","Years"
"UCFP245","Male","10.5","Months"
"UCFP246","Unknown","14","Days"
"UCFP247","Male","2.5","Years"
"UCFP248","Female","4.5","Months"
"UCFP249","Male","4","Months"
"UCFP250","Male","3.5","Years"
"UCFP251","Female","3","Years"
"UCFP252","Male","4","Months"
"UCFP254","Male","9","Months"
"UCFP255","Female","1","Years"
"UCFP256","Female","2.5","Years"
"UCFP257","Male","6","Years"
"UCFP258","Male","1.5","Years"
"UCFP259","Female","7","Months"
"UCFP260","Male","6","Months"
"UCFP262","Female","8","Months"
"UCFP263","Male","2.5","Years"
"UCFP264","Female","4","Years"
"UCFP265","Male","2.5","Years"
"UCFP266","Female","1.5","Years"
"UCFP267","Male","5.5","Months"
"UCFP268","Male","4","Years"
"UCFP269","Male","2","Years"
"UCFP270","Unknown","3","Years"
"UCFP271","Male","3","Years"
"UCFP272","Male","15","Months"
"UCFP273","Male","1","Years"
"UCFP274","Male","3","Years"
"UCFP275","Male","3","Years"
"UCFP276","Male","4.5","Years"
"UCFP277","Male","5.5","Months"
"UCFP278","Male","17","Months"
"UCFP279","Female","3.5","Years"
"UCFP280","Male","1","Years"
"UCFP281","Male","4","Years"
"UCFP282","Male","2.5","Years"
"UCFP283","Male","2.5","Years"
"UCFP284","Female","6","Months"
"UCFP285","Female","3","Years"
"UCFP286","Male","2","Years"
"UCFP287","Male","3.5","Years"
"UCFP288","Male","6","Months"
"UCFP289","Female","3","Years"
"UCFP290","Female","",""
"UCFP291","Male","9","Months"
"UCFP292","Female","2","Years"
"UCFP293","Female","4","Months"
"UCFP294","Female","2","Years"
"UCFP295","Female","4.5","Months"
"UCFP296","Male","3","Months"
"UCFP299","Female","",""
"UCFP300","Male","5.5","Years"
"UCFP301","Male","2.75","Years"
"UCFP302","Female","2.5","Years"
"UCFP303","Female","2","Months"
"UCFP304","Female","4","Years"
"UCFP305","Female","1.5","Years"
"UCFP306","Male","2.5","Years"
"UCFP307","Female","4.5","Years"
"UCFP308","Female","3.5","Years"
"UCFP309","Male","","Years"
"UCFP310","Male","2.5","Years"
"UCFP311","Male","5","Years"
"UCFP312","Female","2.5","Years"
"UCFP313","Male","2","Years"
"UCFP314","Male","1.5","Years"
"UCFP315","Female","1","Years"
"UCFP316","Male","3.5","Years"
"UCFP317","Female","1.5","Years"
"UCFP319","Male","2","Years"
"UCFP321","Male","2.5","Years"
"UCFP322","Female","3.5","Years"
"UCFP323","Male","1.5","Years"
"UCFP324","Male","2.5","Years"
"UCFP325","Female","3","Years"
"UCFP326","Female","0.4",""
"UCFP327","Male","4","Months"
"UCFP328","Female","5.5","Years"
"UCFP329","Male","2","Years"
"UCFP330","Female","5.5","Years"
"UCFP331","Female","6","Years"
"UCFP332","Female","3","Years"
"UCFP333","Male","2.5","Years"
"UCFP334","Male","9","Months"
"UCFP335","Male","2","Years"
"UCFP336","Female","2","Months"
"UCFP337","Female","5","Years"
"UCFP338","Female","4","Years"
"UCFP339","Male","5","Years"
"UCFP340","Female","4","Months"
"UCFP341","Male","4","Months"
"UCFP342","Male","4","Months"
"UCFP343","Male","2","Years"
"UCFP344","Female","9","Years"
"UCFP345","Male","4.5","Months"
"UCFP346","Male","3","Years"
"UCFP347","Female","8","Months"
